iter	Passed	Remaining
661	3711	52351
662	3716	52344
663	3722	52342
664	3728	52337
665	3734	52332
666	3739	52325
667	3745	52318
668	3750	52313
669	3756	52306
670	3761	52301
671	3767	52294
672	3772	52288
673	3778	52279
674	3783	52271
675	3789	52264
676	3794	52256
677	3800	52251
678	3805	52242
679	3811	52236
680	3816	52230
681	3822	52225
682	3827	52217
683	3833	52214
684	3839	52210
685	3845	52206
686	3850	52199
687	3856	52192
688	3878	52418
689	3884	52419
690	3891	52419
691	3896	52417
692	3902	52411
693	3908	52410
694	3914	52406
695	3920	52403
696	3925	52398
697	3931	52396
698	3937	52393
699	3943	52394
700	3949	52392
701	3955	52391
702	3961	52394
703	3968	52400
704	3974	52406
705	3981	52413
706	3987	52418
707	3993	52417
708	4000	52420
709	4006	52424
710	4012	52425
711	4019	52432
712	4025	52439
713	4032	52446
714	4038	52450
715	4045	52455
716	4051	52454
717	4057	52458
718	4063	52458
719	4069	52456
720	4076	52458
721	4082	52459
722	4088	52460
723	4094	52463
724	4100	52462
725	4106	52460
726	4112	52461
727	4119	52461
728	4125	52459
729	4130	52456
730	4136	52453
731	4142	52449
732	4148	52449
733	4154	52445
734	4160	52443
735	4166	52441
736	4172	52438
737	4178	52436
738	4183	52432
739	4189	52427
740	4195	52423
741	4201	52418
742	4206	52413
743	4212	52408
744	4218	52402
745	4224	52400
746	4229	52395
747	4235	52392
748	4241	52389
749	4247	52384
750	4252	52376
751	4258	52370
752	4264	52363
753	4269	52360
754	4275	52357
755	4281	52354
756	4287	52348
757	4293	52348
758	4299	52343
759	4305	52342
760	4311	52342
761	4317	52339
762	4323	52336
763	4329	52333
764	4334	52328
765	4340	52321
766	4345	52315
767	4351	52311
768	4357	52306
769	4363	52300
770	4368	52293
771	4374	52287
772	4380	52282
773	4385	52275
774	4391	52267
775	4396	52261
776	4402	52255
777	4407	52248
778	4413	52241
779	4418	52233
780	4424	52225
781	4430	52221
782	4435	52216
783	4441	52209
784	4447	52204
785	4452	52197
786	4458	52192
787	4464	52186
788	4469	52183
789	4475	52175
790	4481	52170
791	4487	52167
792	4492	52162
793	4498	52158
794	4504	52153
795	4509	52146
796	4515	52140
797	4521	52135
798	4526	52130
799	4532	52124
800	4538	52119
801	4543	52114
802	4549	52111
803	4556	52111
804	4561	52105
805	4567	52100
806	4573	52094
807	4578	52088
808	4584	52083
809	4590	52079
810	4596	52075
811	4601	52070
812	4607	52064
813	4613	52058
814	4618	52051
815	4624	52047
816	4630	52042
817	4635	52036
818	4641	52033
819	4647	52027
820	4653	52021
821	4658	52018
822	4664	52012
823	4670	52006
824	4675	52000
825	4681	51994
826	4687	51988
827	4692	51981
828	4698	51974
829	4703	51967
830	4709	51962
831	4715	51955
832	4720	51950
833	4726	51944
834	4732	51939
835	4737	51933
836	4743	51927
837	4748	51921
838	4754	51915
839	4760	51910
840	4765	51903
841	4771	51896
842	4777	51890
843	4782	51884
844	4788	51878
845	4794	51874
846	4799	51868
847	4805	51861
848	4811	51856
